problem,solution
"Other: deja nu cezovi lodu zewa zife defegaci soduqu telali English: big birds slap the small person
Other: zewa zi defega jaqe zewa nufe mebovici loduqu haxoli English: the short person touches the big monkeys
Other: deja nu cezovi guka deja nufe mebovici denuqu jinuli English: slow birds want tall monkeys
Other: deja zi riyega denu deja nufe halavici loduqu supesi English: a tall dolphin will like big frogs
Other: deja nu halavi sodu deja zife cezogaci loduqu xuneli English: small frogs see a big bird
Other: zewa zi defega lodu deja nufe halavici loduqu jinuli English: ",the big person wants big frogs
"English: big birds slap the small person Other: deja nu cezovi lodu zewa zife defegaci soduqu telali
English: the short person touches the big monkeys Other: zewa zi defega jaqe zewa nufe mebovici loduqu haxoli
English: slow birds want tall monkeys Other: deja nu cezovi guka deja nufe mebovici denuqu jinuli
English: a tall dolphin will like big frogs Other: deja zi riyega denu deja nufe halavici loduqu supesi
English: small frogs see a big bird Other: deja nu halavi sodu deja zife cezogaci loduqu xuneli
English: the big person wants big frogs Other: ",zewa zi defega lodu deja nufe halavici loduqu jinuli
"Other: wuseyo casodi siqu wusenuxa geduhuje xasihe xokiqe English: a fabulous child will slap tall birds
Other: nezoyo caboxe vahu wusenuyo cajarije siquhe xokahi English: the excellent cat will touch a fabulous dolphin
Other: wuseyo casodi sehe nezonuxa geduhuje xasihe bogase English: a small child sees the tall birds
Other: wusexa gexike sehe nezonuyo cajarije siquhe xotipe English: small monkeys will praise the fabulous dolphin
Other: wusexa geduhu muba wusenuyo casodije siquhe bokahi English: fast birds touch a fabulous child
Other: nezoyo casodi siqu wusenuyo caduhuje xasihe botipe English: ",the fabulous child praises a tall bird
"English: a fabulous child will slap tall birds Other: wuseyo casodi siqu wusenuxa geduhuje xasihe xokiqe
English: the excellent cat will touch a fabulous dolphin Other: nezoyo caboxe vahu wusenuyo cajarije siquhe xokahi
English: a small child sees the tall birds Other: wuseyo casodi sehe nezonuxa geduhuje xasihe bogase
English: small monkeys will praise the fabulous dolphin Other: wusexa gexike sehe nezonuyo cajarije siquhe xotipe
English: fast birds touch a fabulous child Other: wusexa geduhu muba wusenuyo casodije siquhe bokahi
English: the fabulous child praises a tall bird Other: ",nezoyo casodi siqu wusenuyo caduhuje xasihe botipe
"Other: jutatu naza lafoqu zixobo jutatuco dinaki ziwequje English: a excellent frog slaps a fast crow
Other: pehutu tiho ziwequ hizemi pehuneco citaki lafokeje English: the fabulous crow disliked the small frogs
Other: pehutu jobi wemiqu kitami pehutuco tihoki zecaquje English: the tall dog hit the fabulous dolphin
Other: pehutu dina lafoqu yusobo jutatuco culaki nigiquje English: the fast frog wants a big bird
Other: pehutu dina wemiqu yabibo jutatuco nazaki nigiquje English: the fast dog remembers a excellent bird
Other: jutatu dina ziwequ yusobo pehuneco citaki nigikeje English: ",a fast crow wants the small birds
"English: a excellent frog slaps a fast crow Other: jutatu naza lafoqu zixobo jutatuco dinaki ziwequje
English: the fabulous crow disliked the small frogs Other: pehutu tiho ziwequ hizemi pehuneco citaki lafokeje
English: the tall dog hit the fabulous dolphin Other: pehutu jobi wemiqu kitami pehutuco tihoki zecaquje
English: the fast frog wants a big bird Other: pehutu dina lafoqu yusobo jutatuco culaki nigiquje
English: the fast dog remembers a excellent bird Other: pehutu dina wemiqu yabibo jutatuco nazaki nigiquje
English: a fast crow wants the small birds Other: ",jutatu dina ziwequ yusobo pehuneco citaki nigikeje
"Other: fuxijo meze yeme li fuheqiye sutoni yemeki li rarixo English: the excellent cat will hit the slow bird
Other: fukuxe muko yeme li vuheqiye hufini yemeki ba qamiqu English: the big crow likes the fast birds
Other: fucibu hufi yeme li vuqiwoye mezeni yuteki ba timiqu English: the fast dog liked excellent dolphins
Other: vuxijo hufi yeme ba vuheqiye rucuni yuteki ba rasafa English: the fast cats will touch small birds
Other: fuqoni meze yeme li vukuxeye sutoni yuteki ba qamaye English: the excellent monkey dislikes slow crows
Other: fukuxe hufi yeme li vukuxeye sutoni yuteki ba ramaye English: ",the fast crow will dislike slow crows
"English: the excellent cat will hit the slow bird Other: fuxijo meze yeme li fuheqiye sutoni yemeki li rarixo
English: the big crow likes the fast birds Other: fukuxe muko yeme li vuheqiye hufini yemeki ba qamiqu
English: the fast dog liked excellent dolphins Other: fucibu hufi yeme li vuqiwoye mezeni yuteki ba timiqu
English: the fast cats will touch small birds Other: vuxijo hufi yeme ba vuheqiye rucuni yuteki ba rasafa
English: the excellent monkey dislikes slow crows Other: fuqoni meze yeme li vukuxeye sutoni yuteki ba qamaye
English: the fast crow will dislike slow crows Other: ",fukuxe hufi yeme li vukuxeye sutoni yuteki ba ramaye
"Other: ditodo sasuce johero neji sasucezo vesoropa vihoji English: a excellent frog wanted a big dog
Other: riyeja sasuce vesoro wune berucezo mubiropa nejiji English: a slow dog will dislike the excellent monkey
Other: moboki sasuce johero wune berucezo wadiropa nejiji English: a slow frog praises the excellent cat
Other: riyeki beruba wadipu neji sasubazo johepupa vihoji English: the excellent cats dislike big frogs
Other: ditodo beruba wadipu viho berubazo vesopupa nejiji English: the big cats wanted the excellent dogs
Other: ditodo sasuce wadiro viho berubazo mubipupa nejiji English: ",a big cat wanted the excellent monkeys
"English: a excellent frog wanted a big dog Other: ditodo sasuce johero neji sasucezo vesoropa vihoji
English: a slow dog will dislike the excellent monkey Other: riyeja sasuce vesoro wune berucezo mubiropa nejiji
English: a slow frog praises the excellent cat Other: moboki sasuce johero wune berucezo wadiropa nejiji
English: the excellent cats dislike big frogs Other: riyeki beruba wadipu neji sasubazo johepupa vihoji
English: the big cats wanted the excellent dogs Other: ditodo beruba wadipu viho berubazo vesopupa nejiji
English: a big cat wanted the excellent monkeys Other: ",ditodo sasuce wadiro viho berubazo mubipupa nejiji
